,Scores,BBox
0,0.9826685,"[[252.61093   73.595314]
 [308.3047    73.595314]
 [308.3047   103.43125 ]
 [252.61093  103.43125 ]]"
1,0.9761112,"[[312.2828    73.595314]
 [381.9       73.595314]
 [381.9       97.464066]
 [312.2828    97.464066]]"
2,0.9830273,"[[178.15883   86.631325]
 [249.15306   77.75704 ]
 [252.76396  106.644356]
 [181.76973  115.51864 ]]"
3,1.0276712,"[[222.06488 119.44058]
 [339.05246 103.48774]
 [341.96945 124.87924]
 [224.98189 140.83209]]"
4,0.9643323,"[[342.11874  109.39844 ]
 [381.9      109.39844 ]
 [381.9      125.310936]
 [342.11874  125.310936]]"
5,0.87337327,"[[182.0811  129.35925]
 [222.69308 126.23525]
 [223.82802 140.98943]
 [183.21603 144.11342]]"
6,0.9896137,"[[304.32657 137.24532]
 [328.1953  137.24532]
 [328.1953  159.125  ]
 [304.32657 159.125  ]]"
7,1.0033263,"[[330.1844  137.24532]
 [377.92188 137.24532]
 [377.92188 155.14688]
 [330.1844  155.14688]]"
8,0.89128566,"[[383.88907 137.24532]
 [405.76874 137.24532]
 [405.76874 155.14688]
 [383.88907 155.14688]]"
9,0.9478881,"[[407.7578  137.24532]
 [443.56094 137.24532]
 [443.56094 157.13594]
 [407.7578  157.13594]]"
10,0.8973235,"[[471.4078  137.24532]
 [497.26562 137.24532]
 [497.26562 159.125  ]
 [471.4078  159.125  ]]"
11,0.93366253,"[[445.55    139.23438]
 [471.4078  139.23438]
 [471.4078  157.13594]
 [445.55    157.13594]]"
12,0.9957218,"[[272.50156 141.22343]
 [304.32657 141.22343]
 [304.32657 163.10312]
 [272.50156 163.10312]]"
13,0.9322347,"[[217.4396  151.42615]
 [272.19733 147.21402]
 [273.9173  169.57344]
 [219.15956 173.78557]]"
14,0.91540575,"[[109.39844 155.14688]
 [143.2125  155.14688]
 [143.2125  177.02657]
 [109.39844 177.02657]]"
15,0.9516379,"[[145.20157 155.14688]
 [181.00468 155.14688]
 [181.00468 175.0375 ]
 [145.20157 175.0375 ]]"
16,0.94488996,"[[182.99374 155.14688]
 [216.80782 155.14688]
 [216.80782 175.0375 ]
 [182.99374 175.0375 ]]"
17,0.9742365,"[[ 69.61719 157.13594]
 [107.40938 157.13594]
 [107.40938 175.0375 ]
 [ 69.61719 175.0375 ]]"
18,0.9697893,"[[318.44095 162.1643 ]
 [357.2993  155.09915]
 [361.4047  177.679  ]
 [322.54636 184.74416]]"
19,0.9366491,"[[360.02032 157.13594]
 [383.88907 157.13594]
 [383.88907 177.02657]
 [360.02032 177.02657]]"
20,0.8881498,"[[385.8781  159.125  ]
 [417.70312 159.125  ]
 [417.70312 179.01562]
 [385.8781  179.01562]]"
21,0.9818711,"[[421.68124 159.125  ]
 [461.4625  159.125  ]
 [461.4625  179.01562]
 [421.68124 179.01562]]"
22,0.97677153,"[[463.80496 160.14478]
 [506.49405 163.19398]
 [505.12088 182.41823]
 [462.4318  179.36902]]"
23,1.0097674,"[[264.8995  167.46269]
 [319.8794  161.67534]
 [322.07013 182.48692]
 [267.0902  188.27428]]"
